,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Ish Smith,WAS,31,7,2,5,27.1,7.7,3.3,8.3,39.7,0.6,2.6,22.2,0.6,1.0,57.1,0.9,2.1,3.0,4.6,1.3,0.6,0.4,2.4,19.9,0,0,1.7
Joe Ingles,UTA,32,8,5,3,28.8,7.6,2.8,6.9,40.0,1.6,4.8,34.2,0.5,0.5,100,0.3,3.6,3.9,3.4,1.3,0.9,0.1,2.6,19.1,0,0,3.0
Solomon Hill,MEM,28,5,2,3,17.8,7.6,2.6,5.0,52.0,1.0,2.4,41.7,1.4,2.0,70.0,0.6,2.4,3.0,1.6,1.4,0.8,0.2,1.6,15.2,0,0,-3.0
Darius Garland,CLE,19,7,2,5,27.0,7.6,3.0,10.3,29.2,1.0,3.9,25.9,0.6,0.9,66.7,0.3,1.1,1.4,3.3,2.4,0.7,0.0,1.3,13.9,0,0,-4.4
Kyle Anderson,MEM,26,7,2,5,20.7,7.6,3.0,5.7,52.5,0.1,0.9,16.7,1.4,2.3,62.5,0.9,3.7,4.6,2.1,0.7,0.7,0.7,1.7,19.8,0,0,-4.6
Malik Monk,CHA,21,7,4,3,18.0,7.6,3.3,7.1,46.0,1.0,3.6,28.0,0.0,0.1,0.0,0.1,1.6,1.7,2.1,1.6,0.3,0.3,1.7,13.0,0,0,-6.7
Ky Bowman,GSW,22,8,2,6,20.3,7.5,2.9,6.8,42.6,0.8,1.9,40.0,1.0,1.1,88.9,0.1,1.5,1.6,2.5,1.4,0.8,0.0,1.6,14.1,0,0,-0.1
Norman Powell,TOR,26,7,5,2,23.5,7.4,2.6,6.7,38.3,1.0,3.9,25.9,1.3,1.6,81.8,0.4,3.4,3.9,1.4,1.6,1.0,0.0,1.4,15.6,0,0,-0.4
Tyus Jones,MEM,23,7,2,5,21.7,7.4,2.9,7.6,37.7,0.1,1.7,8.3,1.6,2.3,68.8,0.0,1.4,1.4,4.6,1.1,1.4,0.0,1.3,19.1,0,0,-6.0
Grayson Allen,MEM,24,5,1,4,16.9,7.4,2.2,7.0,31.4,1.0,3.8,26.3,2.0,2.4,83.3,0.2,1.8,2.0,1.6,1.4,0.4,0.0,2.0,12.0,0,0,-10.0
Michael Porter Jr.,DEN,21,3,2,1,10.5,7.3,2.7,4.0,66.7,0.3,1.0,33.3,1.7,2.7,62.5,1.0,2.0,3.0,0.3,0.7,0.0,0.0,1.0,10.8,0,0,0.0
